Datetime,Price_EUR_per_MWh,Price_EUR_per_kg,electricity_price,CF
2024-01-01 01:00:00,31.58,0.4130663999999999,63.33,0.776559
2024-01-01 02:00:00,31.58,0.4130663999999999,50.09,0.742909
2024-01-01 03:00:00,31.58,0.4130663999999999,47.5,0.673741
2024-01-01 04:00:00,31.58,0.4130663999999999,43.5,0.6226
2024-01-01 05:00:00,31.58,0.4130663999999999,42.5,0.630086
2024-01-01 06:00:00,31.58,0.4130663999999999,42.09,0.645159
2024-01-01 07:00:00,31.58,0.4130663999999999,42.5,0.63155
2024-01-01 08:00:00,31.58,0.4130663999999999,42.59,0.622468
2024-01-01 09:00:00,31.58,0.4130663999999999,43.37,0.561723
2024-01-01 10:00:00,31.58,0.4130663999999999,42.29,0.535555
2024-01-01 11:00:00,31.58,0.4130663999999999,25.0,0.545727
2024-01-01 12:00:00,31.58,0.4130663999999999,3.9,0.573323
2024-01-01 13:00:00,31.58,0.4130663999999999,3.2,0.557027
2024-01-01 14:00:00,31.58,0.4130663999999999,2.06,0.594027
2024-01-01 15:00:00,31.58,0.4130663999999999,1.73,0.602009
2024-01-01 16:00:00,31.58,0.4130663999999999,5.72,0.606559
2024-01-01 17:00:00,31.58,0.4130663999999999,18.49,0.722705
2024-01-01 18:00:00,31.58,0.4130663999999999,37.0,0.87305
2024-01-01 19:00:00,31.58,0.4130663999999999,47.5,0.8895
2024-01-01 20:00:00,31.58,0.4130663999999999,54.97,0.860618
2024-01-01 21:00:00,31.58,0.4130663999999999,60.9,0.879055
2024-01-01 22:00:00,31.58,0.4130663999999999,60.0,0.894064
2024-01-01 23:00:00,31.58,0.4130663999999999,47.5,0.912809
2024-01-01 23:00:00,31.58,0.4130663999999999,42.09,0.912809
2024-02-01 01:00:00,28.91,0.3781428,69.0,0.341792
2024-02-01 02:00:00,28.91,0.3781428,60.44,0.353898
2024-02-01 03:00:00,28.91,0.3781428,55.1,0.35871
2024-02-01 04:00:00,28.91,0.3781428,54.6,0.371817
2024-02-01 05:00:00,28.91,0.3781428,53.47,0.355426
2024-02-01 06:00:00,28.91,0.3781428,59.82,0.304863
2024-02-01 07:00:00,28.91,0.3781428,72.42,0.288451
2024-02-01 08:00:00,28.91,0.3781428,88.76,0.291266
2024-02-01 09:00:00,28.91,0.3781428,95.76,0.309376
2024-02-01 10:00:00,28.91,0.3781428,88.77,0.355741
2024-02-01 11:00:00,28.91,0.3781428,62.8,0.383641
2024-02-01 12:00:00,28.91,0.3781428,55.98,0.383641
2024-02-01 13:00:00,28.91,0.3781428,54.44,0.365884
2024-02-01 14:00:00,28.91,0.3781428,54.0,0.334266
2024-02-01 15:00:00,28.91,0.3781428,54.44,0.277067
2024-02-01 16:00:00,28.91,0.3781428,54.6,0.233269
2024-02-01 17:00:00,28.91,0.3781428,60.44,0.203868
2024-02-01 18:00:00,28.91,0.3781428,76.0,0.183776
2024-02-01 19:00:00,28.91,0.3781428,101.89,0.169251
2024-02-01 20:00:00,28.91,0.3781428,99.05,0.1512
2024-02-01 21:00:00,28.91,0.3781428,94.0,0.141138
2024-02-01 22:00:00,28.91,0.3781428,83.66,0.141199
2024-02-01 23:00:00,28.91,0.3781428,82.13,0.143066
2024-02-01 23:00:00,28.91,0.3781428,71.19,0.143066
2024-03-01 01:00:00,24.45,0.319806,2.17,0.948568
2024-03-01 02:00:00,24.45,0.319806,0.5,0.933832
2024-03-01 03:00:00,24.45,0.319806,0.2,0.917623
2024-03-01 04:00:00,24.45,0.319806,0.1,0.90975
2024-03-01 05:00:00,24.45,0.319806,0.01,0.908814
2024-03-01 06:00:00,24.45,0.319806,0.5,0.934536
2024-03-01 07:00:00,24.45,0.319806,3.0,0.948727
2024-03-01 08:00:00,24.45,0.319806,3.25,0.953936
2024-03-01 09:00:00,24.45,0.319806,3.25,0.962968
2024-03-01 10:00:00,24.45,0.319806,3.2,0.9672
2024-03-01 11:00:00,24.45,0.319806,0.0,0.970009
2024-03-01 12:00:00,24.45,0.319806,0.0,0.968036
2024-03-01 13:00:00,24.45,0.319806,0.0,0.9601
2024-03-01 14:00:00,24.45,0.319806,0.0,0.945159
2024-03-01 15:00:00,24.45,0.319806,0.0,0.922886
2024-03-01 16:00:00,24.45,0.319806,0.0,0.888482
2024-03-01 17:00:00,24.45,0.319806,0.0,0.865041
2024-03-01 18:00:00,24.45,0.319806,0.84,0.871282
2024-03-01 19:00:00,24.45,0.319806,3.25,0.855709
2024-03-01 20:00:00,24.45,0.319806,5.68,0.8726
2024-03-01 21:00:00,24.45,0.319806,10.1,0.909927
2024-03-01 22:00:00,24.45,0.319806,6.48,0.927423
2024-03-01 23:00:00,24.45,0.319806,5.0,0.929286
2024-03-01 23:00:00,24.45,0.319806,3.8,0.929286
2024-04-01 01:00:00,26.94,0.3523752,0.7,0.954073
2024-04-01 02:00:00,26.94,0.3523752,0.02,0.95205
2024-04-01 03:00:00,26.94,0.3523752,0.0,0.954114
2024-04-01 04:00:00,26.94,0.3523752,0.0,0.950045
2024-04-01 05:00:00,26.94,0.3523752,0.0,0.944414
2024-04-01 06:00:00,26.94,0.3523752,0.0,0.949805
2024-04-01 07:00:00,26.94,0.3523752,0.13,0.965686
2024-04-01 08:00:00,26.94,0.3523752,1.19,0.972323
2024-04-01 09:00:00,26.94,0.3523752,0.94,0.973409
2024-04-01 10:00:00,26.94,0.3523752,0.13,0.969105
